season,episode,title,date
9,4,"""Work Bus""","October 18, 2012"
9,5,"""Here Comes Treble""","October 25, 2012"
9,6,"""The Boat""","November 8, 2012"
9,7,"""The Whale""","November 15, 2012"
9,8,"""The Target""","November 29, 2012"
9,9,"""Dwight Christmas""","December 6, 2012"
9,10,"""Lice""","January 10, 2013"
9,11,"""Suit Warehouse""","January 17, 2013"
9,12,"""Customer Loyalty""","January 24, 2013"
9,13,"""Junior Salesman""","January 31, 2013"
9,14,"""Vandalism""","January 31, 2013"
9,15,"""Couples Discount""","February 7, 2013"
9,16,"""Moving On""","February 14, 2013"
9,17,"""The Farm""","March 14, 2013"
9,18,"""Promos""","April 4, 2013"
9,19,"""Stairmageddon""","April 11, 2013"
9,20,"""Paper Airplane""","April 25, 2013"
9,21,"""Livin' the Dream""","May 2, 2013"
9,22,"""A.A.R.M.""","May 9, 2013"
9,23,"""Finale""","May 16, 2013"
